DPBench size: 200

DPBench markdown_text BLEU: mean=0.92 median=0.96 std=0.13

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
| (0.250, 0.300]  |        2   |      92.5 |         7.5 |       4 |
| (0.300, 0.350]  |        1.5 |      94.5 |         5.5 |       3 |
| (0.350, 0.400]  |        1   |      96   |         4   |       2 |
| (0.400, 0.450]  |        1   |      97   |         3   |       2 |
| (0.450, 0.500]  |        2   |      98   |         2   |       4 |
| (0.500, 0.550]  |        0   |     100   |         0   |       0 |
| (0.550, 0.600]  |        0   |     100   |         0   |       0 |
| (0.600, 0.650]  |        0   |     100   |         0   |       0 |
| (0.650, 0.700]  |        0   |     100   |         0   |       0 |
| (0.700, 0.750]  |        0   |     100   |         0   |       0 |
| (0.750, 0.800]  |        0   |     100   |         0   |       0 |
| (0.800, 0.850]  |        0   |     100   |         0   |       0 |
| (0.850, 0.900]  |        0   |     100   |         0   |       0 |
| (0.900, 0.950]  |        0   |     100   |         0   |       0 |
| (0.950, 1.000]  |        0   |     100   |         0   |       0 |


DPBench markdown_text meteor: mean=0.97 median=0.99 std=0.06

| meteor         |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |        0   |       0   |       100   |       0 |
| (0.050, 0.100] |        0   |       0   |       100   |       0 |
| (0.100, 0.150] |        0   |       0   |       100   |       0 |
| (0.150, 0.200] |        0   |       0   |       100   |       0 |
| (0.200, 0.250] |        0   |       0   |       100   |       0 |
| (0.250, 0.300] |        0   |       0   |       100   |       0 |
| (0.300, 0.350] |        0   |       0   |       100   |       0 |
| (0.350, 0.400] |        0   |       0   |       100   |       0 |
| (0.400, 0.450] |        0   |       0   |       100   |       0 |
| (0.450, 0.500] |        0   |       0   |       100   |       0 |
| (0.500, 0.550] |        0   |       0   |       100   |       0 |
| (0.550, 0.600] |        0.5 |       0   |       100   |       1 |
| (0.600, 0.650] |        0   |       0.5 |        99.5 |       0 |
| (0.650, 0.700] |        0.5 |       0.5 |        99.5 |       1 |
| (0.700, 0.750] |        1   |       1   |        99   |       2 |
| (0.750, 0.800] |        0   |       2   |        98   |       0 |
| (0.800, 0.850] |        1.5 |       2   |        98   |       3 |
| (0.850, 0.900] |        5.5 |       3.5 |        96.5 |      11 |
| (0.900, 0.950] |        9   |       9   |        91   |      18 |
| (0.950, 1.000] |       82   |      18   |        82   |     164 |


