DocLayNetV1 size: 4999

DocLayNetV1 markdown_text BLEU: mean=0.71 median=0.84 std=0.30

| BLEU           |   prob [%] |   acc [%] |   1-acc [%] |   total |
| (0.300, 0.350] |       0.22 |      0.6  |       99.4  |      11 |
| (0.350, 0.400] |       0.28 |      0.82 |       99.18 |      14 |
| (0.400, 0.450] |       0.36 |      1.1  |       98.9  |      18 |
| (0.450, 0.500] |       0.56 |      1.46 |       98.54 |      28 |
| (0.500, 0.550] |       0.74 |      2.02 |       97.98 |      37 |
| (0.550, 0.600] |       0.68 |      2.76 |       97.24 |      34 |
| (0.600, 0.650] |       0.6  |      3.44 |       96.56 |      30 |
| (0.650, 0.700] |       1.02 |      4.04 |       95.96 |      51 |
| (0.700, 0.750] |       1.28 |      5.06 |       94.94 |      64 |
| (0.750, 0.800] |       2.26 |      6.34 |       93.66 |     113 |
| (0.800, 0.850] |       4.66 |      8.6  |       91.4  |     233 |
| (0.850, 0.900] |       9.68 |     13.26 |       86.74 |     484 |
| (0.900, 0.950] |      20.82 |     22.94 |       77.06 |    1041 |
| (0.950, 1.000] |      56.23 |     43.77 |       56.23 |    2811 |


DocLayNetV1 markdown_text edit_distance: mean=0.42 median=0.40 std=0.29

| edit_distance   |   prob [%] |   acc [%] |   1-acc [%] |   total |
|-----------------|------------|-----------|-------------|---------|
| (0.000, 0.050]  |      10.98 |      0    |      100    |     549 |
| (0.050, 0.100]  |       7.14 |     10.98 |       89.02 |     357 |
| (0.100, 0.150]  |       7    |     18.12 |       81.88 |     350 |
| (0.150, 0.200]  |       5.44 |     25.13 |       74.87 |     272 |
| (0.200, 0.250]  |       5.08 |     30.57 |       69.43 |     254 |
| (0.250, 0.300]  |       4.76 |     35.65 |       64.35 |     238 |
| (0.300, 0.350]  |       4.78 |     40.41 |       59.59 |     239 |
| (0.350, 0.400]  |       4.28 |     45.19 |       54.81 |     214 |
| (0.400, 0.450]  |       5.36 |     49.47 |       50.53 |     268 |
| (0.450, 0.500]  |       4.54 |     54.83 |       45.17 |     227 |
| (0.500, 0.550]  |       5.16 |     59.37 |       40.63 |     258 |
| (0.550, 0.600]  |       4.6  |     64.53 |       35.47 |     230 |
| (0.600, 0.650]  |       4.08 |     69.13 |       30.87 |     204 |
| (0.650, 0.700]  |       4.4  |     73.21 |       26.79 |     220 |
| (0.700, 0.750]  |       4.3  |     77.62 |       22.38 |     215 |
| (0.750, 0.800]  |       6.3  |     81.92 |       18.08 |     315 |
| (0.800, 0.850]  |       5.1  |     88.22 |       11.78 |     255 |
| (0.850, 0.900]  |       3.22 |     93.32 |        6.68 |     161 |
| (0.900, 0.950]  |       1.76 |     96.54 |        3.46 |      88 |
| (0.950, 1.000]  |       1.7  |     98.3  |        1.7  |      85 |


DocLayNetV1 markdown_text meteor: mean=0.80 median=0.87 std=0.21

| meteor         |   prob [%] |   acc [%] |   1-acc [%] |   total |
|----------------|------------|-----------|-------------|---------|
| (0.000, 0.050] |       0.68 |      0    |      100    |      34 |
| (0.050, 0.100] |       0.5  |      0.68 |       99.32 |      25 |
| (0.100, 0.150] |       0.62 |      1.18 |       98.82 |      31 |
| (0.150, 0.200] |       0.96 |      1.8  |       98.2  |      48 |
| (0.200, 0.250] |       1    |      2.76 |       97.24 |      50 |
| (0.250, 0.300] |       1.04 |      3.76 |       96.24 |      52 |
| (0.300, 0.350] |       0.96 |      4.8  |       95.2  |      48 |
| (0.350, 0.400] |       1.5  |      5.76 |       94.24 |      75 |
| (0.400, 0.450] |       1.8  |      7.26 |       92.74 |      90 |
| (0.450, 0.500] |       1.58 |      9.06 |       90.94 |      79 |
| (0.500, 0.550] |       2.08 |     10.64 |       89.36 |     104 |
| (0.550, 0.600] |       2.44 |     12.72 |       87.28 |     122 |
| (0.600, 0.650] |       3.42 |     15.16 |       84.84 |     171 |
| (0.650, 0.700] |       5.26 |     18.58 |       81.42 |     263 |
| (0.700, 0.750] |       6.22 |     23.84 |       76.16 |     311 |
| (0.750, 0.800] |       7.68 |     30.07 |       69.93 |     384 |
| (0.800, 0.850] |       9.18 |     37.75 |       62.25 |     459 |
| (0.850, 0.900] |      10.14 |     46.93 |       53.07 |     507 |
| (0.900, 0.950] |      15.76 |     57.07 |       42.93 |     788 |
| (0.950, 1.000] |      27.17 |     72.83 |       27.17 |    1358 |


